repo	files	nodes	edges	sccs_cyclic	dup_pairs	dup_per100f	size_mb	verdict
isc-projects/bind9							431	TOO_BIG
cfengine/core	433	433	1867	1	15	3.5	14	VIOLATION_KEPT
Rockbox/rockbox							222	TOO_BIG
ovn-org/ovn	17	17	1	0	0	0.0	0	CLEAN
area9innovation/flow9							2026	TOO_BIG
rmyorston/busybox-w32	831	848	1087	0	11	1.3	18	VIOLATION_KEPT
CESNET/UltraGrid							221	TOO_BIG
apache/subversion							219	TOO_BIG
facebook/openbmc	1771	1774	1690	4	179	10.1	67	VIOLATION_KEPT
kdave/btrfs-progs	258	258	1407	0	9	3.5	14	VIOLATION_KEPT
freebsd/pkg	51	51	124	1	2	3.9	115	VIOLATION_KEPT
sonic-net/sonic-buildimage	2111	2084	2208	0	467	22.1	96	VIOLATION_KEPT
openhpc/ohpc	5	5	0	0	0	0.0	0	CLEAN
thesofproject/sof	1511	1511	4158	0	85	5.6	31	VIOLATION_KEPT
kmscon/kmscon	6	6	2	0	0	0.0	0	CLEAN
open-mpi/hwloc	103	103	264	1	15	14.6	8	VIOLATION_KEPT
xen-project/xen	2032	2032	7638	6	65	3.2	43	VIOLATION_KEPT
Blosc/c-blosc2	129	129	222	0	6	4.7	9	VIOLATION_KEPT
petsc/petsc							342	TOO_BIG
RTimothyEdwards/magic	548	548	4672	0	33	6.0	19	VIOLATION_KEPT
ofiwg/libfabric	203	203	561	1	14	6.9	34	VIOLATION_KEPT
sipwise/rtpengine	239	240	1001	3	11	4.6	19	VIOLATION_KEPT
pkgconf/pkgconf	46	46	98	0	3	6.5	2	VIOLATION_KEPT
plougher/squashfs-tools	99	99	293	0	14	14.1	4	VIOLATION_KEPT
bacnet-stack/bacnet-stack	808	808	5429	1	83	10.3	40	VIOLATION_KEPT
groonga/groonga	509	509	1411	0	36	7.1	50	VIOLATION_KEPT
Hamlib/Hamlib	714	714	2416	0	41	5.7	21	VIOLATION_KEPT
freetype/freetype	480	480	1681	1	31	6.5	13	VIOLATION_KEPT
analogdevicesinc/libiio	102	102	259	0	7	6.9	6	VIOLATION_KEPT
SSSD/sssd	795	795	2624	2	26	3.3	32	VIOLATION_KEPT
Samsung/TizenRT							725	TOO_BIG
daos-stack/daos	727	727	2665	3	96	13.2	47	VIOLATION_KEPT
pmodels/mpich	1590	1590	2522	5	70	4.4	40	VIOLATION_KEPT
libMesh/libmesh							208	TOO_BIG
analogdevicesinc/linux							4317	TOO_BIG
cyrusimap/cyrus-imapd	550	550	3234	2	11	2.0	33	VIOLATION_KEPT
DragonFlyBSD/DragonFlyBSD							564	TOO_BIG
tempesta-tech/tempesta	252	242	854	0	14	5.6	11	VIOLATION_KEPT
gpg/gnupg	484	484	1890	0	34	7.0	40	VIOLATION_KEPT
LINBIT/drbd	51	51	74	0	12	23.5	5	VIOLATION_KEPT
gregkh/linux							4805	TOO_BIG
openwrt/mt76	220	220	452	2	42	19.1	73	VIOLATION_KEPT
navit-gps/navit	546	548	2468	0	29	5.3	40	VIOLATION_KEPT
GNOME/libxml2	160	160	927	1	22	13.8	14	VIOLATION_KEPT
monitoring-plugins/monitoring-plugins	434	434	599	0	16	3.7	11	VIOLATION_KEPT
CCExtractor/ccextractor	139	139	482	0	4	2.9	44	VIOLATION_KEPT
llnl/rose							499	TOO_BIG
Seagate/openSeaChest	22	22	38	0	24	109.1	6	VIOLATION_KEPT
OpenSmalltalk/opensmalltalk-vm							726	TOO_BIG
hypre-space/hypre							231	TOO_BIG
libguestfs/libguestfs							428	TOO_BIG
apache/mynewt-core	2252	2252	5870	3	100	4.4	52	VIOLATION_KEPT
espressif/esp-mqtt	29	29	46	2	2	6.9	3	VIOLATION_KEPT
tianocore/edk2-platforms							289	TOO_BIG
Xilinx/u-boot-xlnx							298	TOO_BIG
losnoco/Cog							718	TOO_BIG
c2lang/c2compiler	1	1	0	0	2	200.0	9	VIOLATION_KEPT
koverstreet/bcachefs							2897	TOO_BIG
mingw-w64/mingw-w64	2858	2858	7177	32	28	1.0	126	VIOLATION_KEPT
beagleboard/linux							3778	TOO_BIG
liudf0716/apfree-wifidog	72	72	330	0	4	5.6	10	VIOLATION_KEPT
nrfconnect/sdk-zephyr							775	TOO_BIG
vlang/vc							1763	TOO_BIG
craigbarnes/dte	280	280	1496	1	1	0.4	5	VIOLATION_KEPT
MrChromebox/coreboot							221	TOO_BIG
jdolan/quetoo	557	557	1022	2	7	1.3	31	VIOLATION_KEPT
LedgerHQ/app-ethereum	225	225	714	0	3	1.3	35	VIOLATION_KEPT
cygwin/cygwin	3773	3775	5866	1	53	1.4	71	VIOLATION_KEPT
ucscGenomeBrowser/kent							648	TOO_BIG
barebox/barebox	5530	5530	13802	2	64	1.2	104	VIOLATION_KEPT
ChibiOS/ChibiOS	470	474	630	0	26	5.5	445	VIOLATION_KEPT
CUBRID/cubrid							298	TOO_BIG
GNOME/mutter	1026	1026	3830	4	53	5.2	41	VIOLATION_KEPT
clerkma/ptex-ng							439	TOO_BIG
multipath-tcp/mptcp_net-next							3433	TOO_BIG
Azure/azure-sdk-for-c	103	103	460	0	19	18.4	8	VIOLATION_KEPT
wolfSSL/wolfssh	84	84	189	0	28	33.3	7	VIOLATION_KEPT
pupnp/pupnp	57	57	70	0	0	0.0	0	CLEAN
apache/nuttx-apps	1822	1822	3704	2	55	3.0	40	VIOLATION_KEPT
drhsqlite/fossil-mirror							1086	TOO_BIG
Netatalk/netatalk							204	TOO_BIG
flux-framework/flux-core	983	983	3485	2	6	0.6	26	VIOLATION_KEPT
greenbone/gvmd	293	293	983	0	17	5.8	13	VIOLATION_KEPT
sciapp/gr	351	347	738	2	52	14.8	41	VIOLATION_KEPT
TeX-Live/texlive-source							1072	TOO_BIG
GNOME/epiphany	317	317	997	0	29	9.1	18	VIOLATION_KEPT
sonyxperiadev/kernel							4075	TOO_BIG
pantoniou/libfyaml	151	151	415	0	30	19.9	10	VIOLATION_KEPT
drowe67/freedv-gui	393	393	776	0	22	5.6	60	VIOLATION_KEPT
BlockstreamResearch/secp256k1-zkp	155	155	465	0	2	1.3	10	VIOLATION_KEPT
linux-application-whitelisting/fapolicyd	91	91	307	0	9	9.9	3	VIOLATION_KEPT
microsoft/mu_basecore							327	TOO_BIG
coreutils/gnulib							475	TOO_BIG
elogind/elogind	646	646	3688	5	10	1.5	18	VIOLATION_KEPT
pybricks/pybricks-micropython	590	590	2138	1	11	1.9	19	VIOLATION_KEPT
opnsense/src							2074	TOO_BIG
xfce-mirror/thunar	251	251	806	0	28	11.2	32	VIOLATION_KEPT
liblouis/liblouis	145	145	140	0	6	4.1	17	VIOLATION_KEPT
mheily/libkqueue	52	52	70	0	5	9.6	3	VIOLATION_KEPT
CTSRD-CHERI/cheribsd							2222	TOO_BIG
