scanned 1692 files, 19341 fragments, 319471 candidate pairs
  src/slic3r/GUI/SendToPrinter.cpp:1093-1098  <->  src/slic3r/GUI/SyncAmsInfoDialog.cpp:2117-2122  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/SendToPrinter.cpp:1042-1066  <->  src/slic3r/GUI/SyncAmsInfoDialog.cpp:2006-2029  (EXACT, weighted=1, line=0.681818)
  src/slic3r/GUI/SendToPrinter.cpp:72-84  <->  src/slic3r/GUI/SyncAmsInfoDialog.cpp:1603-1614  (EXACT, weighted=1, line=0.8)
  src/slic3r/GUI/SendMultiMachinePage.cpp:1741-1745  <->  src/slic3r/GUI/SendToPrinter.cpp:127-131  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/SendMultiMachinePage.cpp:1132-1144  <->  src/slic3r/GUI/SendToPrinter.cpp:546-558  (RENAMED, weighted=1, line=0.777778)
  src/slic3r/GUI/SelectMachine.cpp:4786-4826  <->  src/slic3r/GUI/SyncAmsInfoDialog.cpp:3132-3170  (EXACT, weighted=1, line=0.6875)
  src/slic3r/GUI/FilamentMapPanel.cpp:592-599  <->  src/slic3r/GUI/PurgeModeDialog.cpp:293-300  (EXACT, weighted=1, line=1)
  src/libslic3r/Format/3mf.cpp:2141-2145  <->  src/libslic3r/Format/bbs_3mf.cpp:5337-5341  (EXACT, weighted=1, line=1)
  src/libslic3r/Format/3mf.cpp:1181-1183  <->  src/libslic3r/Format/bbs_3mf.cpp:3037-3039  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/AMSMaterialsSetting.cpp:2088-2091  <->  src/slic3r/GUI/AmsMappingPopup.cpp:1165-1168  (EXACT, weighted=1, line=1)
  src/libslic3r/Format/3mf.cpp:1263-1265  <->  src/libslic3r/Format/bbs_3mf.cpp:3037-3039  (EXACT, weighted=1, line=1)
  src/libslic3r/Format/3mf.cpp:1921-1926  <->  src/libslic3r/Format/bbs_3mf.cpp:4303-4308  (EXACT, weighted=1, line=1)
