scanned 1211 files, 3067 fragments, 64831 candidate pairs
  src/app/file/tga_format.cpp:92-113  <->  src/app/file/tga_format.cpp:121-142  (STRUCTURAL, weighted=0.752762, line=0.777778)
  src/doc/algo.cpp:22-100  <->  src/doc/algo.cpp:107-189  (STRUCTURAL, weighted=0.752741, line=0.872727)
  src/base/shared_ptr.h:121-131  <->  src/base/shared_ptr.h:137-147  (STRUCTURAL, weighted=0.747904, line=0.8)
  src/doc/conversion_she.cpp:61-65  <->  src/doc/conversion_she.cpp:89-94  (STRUCTURAL, weighted=0.730431, line=0.833333)
  src/doc/conversion_she.cpp:61-65  <->  src/doc/conversion_she.cpp:79-84  (STRUCTURAL, weighted=0.730431, line=0.833333)
  src/doc/algo.cpp:540-611  <->  src/doc/algo.cpp:618-689  (STRUCTURAL, weighted=0.725489, line=0.695652)
  src/app/ui/timeline.cpp:1821-1823  <->  src/app/ui/timeline.cpp:1837-1839  (STRUCTURAL, weighted=0.723662, line=0.5)
  src/app/ui/keyboard_shortcuts.cpp:408-432  <->  src/app/ui/keyboard_shortcuts.cpp:438-462  (STRUCTURAL, weighted=0.721101, line=0.73913)
  src/ui/widget.cpp:1190-1200  <->  src/ui/widget.cpp:1219-1229  (STRUCTURAL, weighted=0.708092, line=0.818182)
  src/app/ui/document_view.cpp:432-441  <->  src/app/ui/document_view.cpp:469-479  (STRUCTURAL, weighted=0.69225, line=0.5)
  src/doc/conversion_she.cpp:42-46  <->  src/doc/conversion_she.cpp:70-74  (EXACT, weighted=0.68, line=1)
  src/app/ui/skin/skin_theme.cpp:580-591  <->  src/app/ui/skin/skin_theme.cpp:820-831  (EXACT, weighted=0.68, line=1)
  src/app/ui/context_bar.cpp:436-440  <->  src/app/ui/context_bar.cpp:448-452  (STRUCTURAL, weighted=0.674596, line=0.666667)
  src/doc/algo.cpp:465-533  <->  src/doc/algo.cpp:540-611  (STRUCTURAL, weighted=0.668609, line=0.647887)
  src/app/color.cpp:383-403  <->  src/app/color.cpp:447-467  (STRUCTURAL, weighted=0.66691, line=0.684211)
  src/app/color.cpp:383-403  <->  src/app/color.cpp:415-435  (STRUCTURAL, weighted=0.66691, line=0.684211)
  src/app/color.cpp:415-435  <->  src/app/color.cpp:447-467  (STRUCTURAL, weighted=0.66691, line=0.684211)
  src/app/commands/cmd_goto_layer.cpp:64-75  <->  src/app/commands/cmd_goto_layer.cpp:103-114  (STRUCTURAL, weighted=0.666854, line=0.5)
  src/doc/primitives.cpp:199-222  <->  src/doc/primitives.cpp:237-260  (STRUCTURAL, weighted=0.662686, line=0.894737)
  src/she/sdl2/sdl2_surface.cpp:263-311  <->  src/she/sdl2/sdl2_surface.cpp:319-385  (STRUCTURAL, weighted=0.661763, line=0.54902)
  src/doc/blend_funcs.cpp:392-406  <->  src/doc/blend_funcs.cpp:430-442  (STRUCTURAL, weighted=0.655138, line=0.833333)
  src/doc/blend_funcs.cpp:411-425  <->  src/doc/blend_funcs.cpp:447-459  (STRUCTURAL, weighted=0.655138, line=0.833333)
  src/app/color.cpp:515-539  <->  src/app/color.cpp:551-575  (STRUCTURAL, weighted=0.647278, line=0.652174)
  src/app/color.cpp:479-503  <->  src/app/color.cpp:515-539  (STRUCTURAL, weighted=0.643177, line=0.681818)
  src/app/ui/skin/skin_theme.cpp:1245-1249  <->  src/app/ui/skin/skin_theme.cpp:1428-1431  (STRUCTURAL, weighted=0.63736, line=0.75)
  src/app/color.cpp:479-503  <->  src/app/color.cpp:551-575  (STRUCTURAL, weighted=0.634959, line=0.681818)
  src/doc/algorithm/shrink_bounds.cpp:56-121  <->  src/doc/algorithm/shrink_bounds.cpp:127-192  (STRUCTURAL, weighted=0.631351, line=0.833333)
  src/app/color.cpp:515-539  <->  src/app/color.cpp:587-611  (STRUCTURAL, weighted=0.630503, line=0.52)
  src/doc/algo.cpp:465-533  <->  src/doc/algo.cpp:618-689  (STRUCTURAL, weighted=0.627231, line=0.583333)
  src/app/ui/editor/editor.cpp:1324-1334  <->  src/app/ui/editor/editor.cpp:1340-1350  (STRUCTURAL, weighted=0.622318, line=0.8)
  src/app/tools/ink_processing.h:248-258  <->  src/app/tools/ink_processing.h:314-324  (STRUCTURAL, weighted=0.621923, line=0.818182)
  src/app/ui/status_bar.cpp:199-213  <->  src/app/ui/status_bar.cpp:235-249  (STRUCTURAL, weighted=0.619877, line=0.529412)
  src/app/file/bmp_format.cpp:238-258  <->  src/app/file/bmp_format.cpp:266-282  (STRUCTURAL, weighted=0.616772, line=0.52381)
