scanned 618 files, 1688 fragments, 29584 candidate pairs
  engine/prefabs/irreden/update/systems/system_contact_trigger_glow.hpp:17-61  <->  engine/prefabs/irreden/update/systems/system_spawn_glow.hpp:16-49  (STRUCTURAL, weighted=0.786461, line=0.617647)
  creations/demos/canvas_stress/main.cpp:224-238  <->  creations/demos/stateless_particles/main.cpp:128-141  (STRUCTURAL, weighted=0.782879, line=0.571429)
  creations/demos/canvas_stress/main.cpp:224-238  <->  creations/demos/gpu_particles/main.cpp:107-120  (STRUCTURAL, weighted=0.782879, line=0.571429)
  engine/script/include/irreden/script/lua_script.hpp:700-736  <->  engine/script/include/irreden/script/lua_script.hpp:753-791  (STRUCTURAL, weighted=0.775534, line=0.809524)
  creations/demos/chunk_streaming_smoke/main.cpp:91-132  <->  creations/demos/lowres_pan/main.cpp:72-103  (STRUCTURAL, weighted=0.774959, line=0.666667)
  engine/script/include/irreden/script/lua_script.hpp:650-684  <->  engine/script/include/irreden/script/lua_script.hpp:700-736  (STRUCTURAL, weighted=0.774763, line=0.8)
  engine/script/include/irreden/script/lua_script.hpp:603-635  <->  engine/script/include/irreden/script/lua_script.hpp:650-684  (STRUCTURAL, weighted=0.77394, line=0.789474)
  engine/script/include/irreden/script/lua_script.hpp:559-589  <->  engine/script/include/irreden/script/lua_script.hpp:603-635  (STRUCTURAL, weighted=0.773063, line=0.777778)
  engine/script/include/irreden/script/lua_script.hpp:518-546  <->  engine/script/include/irreden/script/lua_script.hpp:559-589  (STRUCTURAL, weighted=0.772124, line=0.764706)
  engine/script/include/irreden/script/lua_script.hpp:480-506  <->  engine/script/include/irreden/script/lua_script.hpp:518-546  (STRUCTURAL, weighted=0.771118, line=0.75)
  engine/script/include/irreden/script/lua_script.hpp:445-469  <->  engine/script/include/irreden/script/lua_script.hpp:480-506  (STRUCTURAL, weighted=0.770036, line=0.733333)
  engine/script/include/irreden/script/lua_script.hpp:413-435  <->  engine/script/include/irreden/script/lua_script.hpp:445-469  (STRUCTURAL, weighted=0.76887, line=0.714286)
