scanned 719 files, 3673 fragments, 66759 candidate pairs
  source/Irrlicht/CD3D8Driver.cpp:1444-1475  <->  source/Irrlicht/CD3D9Driver.cpp:2296-2327  (RENAMED, weighted=1, line=0.642857)
  source/Irrlicht/CD3D8Driver.cpp:1133-1138  <->  source/Irrlicht/COpenGLDriver.cpp:2270-2275  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D8Driver.cpp:1133-1138  <->  source/Irrlicht/CD3D9Driver.cpp:2052-2057  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraudWire.cpp:67-71  <->  source/Irrlicht/CTRTextureGouraud.cpp:140-144  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraud.cpp:70-74  <->  source/Irrlicht/CTRTextureFlatWire.cpp:66-70  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D8Driver.cpp:1116-1121  <->  source/Irrlicht/CD3D9Driver.cpp:2033-2038  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceConsole.h:176-190  <->  source/Irrlicht/CIrrDeviceWinCE.h:189-203  (EXACT, weighted=1, line=1)
  tools/GUIEditor/CGUIColorAttribute.h:152-157  <->  tools/GUIEditor/CGUIStringAttribute.h:48-54  (EXACT, weighted=1, line=1)
  source/Irrlicht/CSoftwareDriver.cpp:860-877  <->  source/Irrlicht/CSoftwareDriver2.cpp:2381-2398  (RENAMED, weighted=1, line=0.692308)
  source/Irrlicht/CGUIModalScreen.cpp:217-228  <->  tools/GUIEditor/CGUIEditWorkspace.cpp:840-851  (EXACT, weighted=1, line=0.818182)
  source/Irrlicht/CAnimatedMeshSceneNode.cpp:782-785  <->  source/Irrlicht/CMeshSceneNode.cpp:343-346  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceLinux.cpp:1025-1040  <->  source/Irrlicht/CIrrDeviceSDL.cpp:382-397  (EXACT, weighted=1, line=1)
  source/Irrlicht/CAnimatedMeshSceneNode.cpp:555-565  <->  source/Irrlicht/CMeshSceneNode.cpp:302-312  (EXACT, weighted=1, line=1)
  source/Irrlicht/CAnimatedMeshSceneNode.cpp:555-565  <->  source/Irrlicht/CCubeSceneNode.cpp:155-165  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraudWire.cpp:67-71  <->  source/Irrlicht/CTRTextureGouraudNoZ.cpp:69-73  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceConsole.h:176-190  <->  source/Irrlicht/MacOSX/CIrrDeviceMacOSX.h:200-214  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraudWire.cpp:67-71  <->  source/Irrlicht/CTRTextureGouraudAdd.cpp:85-89  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraudWire.cpp:67-71  <->  source/Irrlicht/CTRTextureGouraudWire.cpp:70-74  (EXACT, weighted=1, line=1)
  source/Irrlicht/CSoftwareDriver.cpp:949-959  <->  source/Irrlicht/CSoftwareDriver2.cpp:2677-2687  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceConsole.h:176-190  <->  source/Irrlicht/CIrrDeviceWin32.h:247-261  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceLinux.h:260-274  <->  source/Irrlicht/CIrrDeviceWin32.h:247-261  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceConsole.h:176-190  <->  source/Irrlicht/CIrrDeviceLinux.h:260-274  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceConsole.h:163-170  <->  source/Irrlicht/MacOSX/CIrrDeviceMacOSX.h:187-194  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceWin32.h:247-261  <->  source/Irrlicht/MacOSX/CIrrDeviceMacOSX.h:200-214  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceLinux.h:260-274  <->  source/Irrlicht/CIrrDeviceWinCE.h:189-203  (EXACT, weighted=1, line=1)
  source/Irrlicht/CAnimatedMeshSceneNode.cpp:555-565  <->  source/Irrlicht/CSphereSceneNode.cpp:86-96  (EXACT, weighted=1, line=1)
  source/Irrlicht/CIrrDeviceLinux.h:260-274  <->  source/Irrlicht/MacOSX/CIrrDeviceMacOSX.h:200-214  (EXACT, weighted=1, line=1)
  source/Irrlicht/CAnimatedMeshSceneNode.cpp:555-565  <->  source/Irrlicht/CQuake3ShaderSceneNode.cpp:528-538  (EXACT, weighted=1, line=1)
  source/Irrlicht/CAnimatedMeshSceneNode.cpp:555-565  <->  source/Irrlicht/COctreeSceneNode.cpp:313-323  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlatWire.cpp:64-68  <->  source/Irrlicht/CTRTextureGouraudAdd.cpp:85-89  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlat.cpp:66-70  <->  source/Irrlicht/CTRGouraud.cpp:70-74  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlat.cpp:66-70  <->  source/Irrlicht/CTRFlatWire.cpp:64-68  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraud.cpp:70-74  <->  source/Irrlicht/CTRTextureGouraud.cpp:140-144  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraud.cpp:70-74  <->  source/Irrlicht/CTRTextureGouraudAdd.cpp:85-89  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlatWire.cpp:64-68  <->  source/Irrlicht/CTRTextureFlat.cpp:69-73  (EXACT, weighted=1, line=1)
  examples/05.UserInterface/main.cpp:59-64  <->  examples/09.Meshviewer/main.cpp:126-131  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRGouraud.cpp:70-74  <->  source/Irrlicht/CTRTextureFlat.cpp:69-73  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlatWire.cpp:64-68  <->  source/Irrlicht/CTRTextureGouraudWire.cpp:70-74  (EXACT, weighted=1, line=1)
  examples/09.Meshviewer/main.cpp:1004-1006  <->  tools/IrrFontTool/newFontTool/main.cpp:314-316  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlatWire.cpp:64-68  <->  source/Irrlicht/CTRTextureGouraudNoZ.cpp:69-73  (EXACT, weighted=1, line=1)
  source/Irrlicht/CColladaFileLoader.cpp:2580-2587  <->  source/Irrlicht/CIrrMeshFileLoader.cpp:494-501  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlatWire.cpp:64-68  <->  source/Irrlicht/CTRTextureGouraud.cpp:140-144  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlatWire.cpp:64-68  <->  source/Irrlicht/CTRTextureFlatWire.cpp:66-70  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlatWire.cpp:64-68  <->  source/Irrlicht/CTRGouraudWire.cpp:67-71  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlatWire.cpp:64-68  <->  source/Irrlicht/CTRGouraud.cpp:70-74  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlat.cpp:66-70  <->  source/Irrlicht/CTRTextureGouraudWire.cpp:70-74  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlat.cpp:66-70  <->  source/Irrlicht/CTRTextureGouraudNoZ.cpp:69-73  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlat.cpp:66-70  <->  source/Irrlicht/CTRTextureGouraudAdd.cpp:85-89  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRFlat.cpp:66-70  <->  source/Irrlicht/CTRTextureGouraud.cpp:140-144  (EXACT, weighted=1, line=1)
  source/Irrlicht/CSoftwareDriver.cpp:261-291  <->  source/Irrlicht/CSoftwareDriver2.cpp:788-818  (RENAMED, weighted=1, line=0.714286)
  source/Irrlicht/irrXML.cpp:131-141  <->  source/Irrlicht/irrXML.cpp:163-173  (RENAMED, weighted=1, line=0.777778)
  source/Irrlicht/CTRTextureFlat.cpp:69-73  <->  source/Irrlicht/CTRTextureGouraudWire.cpp:70-74  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D9Driver.cpp:1699-1743  <->  source/Irrlicht/COpenGLDriver.cpp:1837-1881  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D9Driver.cpp:1907-1912  <->  source/Irrlicht/COpenGLDriver.cpp:2144-2149  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D9Driver.cpp:1888-1893  <->  source/Irrlicht/COpenGLDriver.cpp:2127-2132  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D9Driver.cpp:1681-1693  <->  source/Irrlicht/COpenGLDriver.cpp:1819-1831  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D9Driver.cpp:1554-1559  <->  source/Irrlicht/COpenGLDriver.cpp:1906-1911  (RENAMED, weighted=1, line=0.5)
  source/Irrlicht/CTRTextureFlatWire.cpp:66-70  <->  source/Irrlicht/CTRTextureGouraud.cpp:140-144  (EXACT, weighted=1, line=1)
