scanned 417 files, 3303 fragments, 75226 candidate pairs
  GWToolboxdll/Utils/TextUtils.cpp:222-258  <->  plugins/Base/PluginUtils.cpp:223-259  (STRUCTURAL, weighted=0.953488, line=0.935484)
  GWToolboxdll/Utils/TextUtils.cpp:278-311  <->  plugins/Base/PluginUtils.cpp:264-297  (STRUCTURAL, weighted=0.950673, line=0.857143)
  GWToolboxdll/Utils/ToolboxUtils.cpp:886-893  <->  GWToolboxdll/Windows/CompletionWindow.cpp:56-62  (STRUCTURAL, weighted=0.946789, line=0.666667)
  GWToolboxdll/ToolboxUIElement.cpp:235-246  <->  GWToolboxdll/Windows/MainWindow.cpp:39-51  (STRUCTURAL, weighted=0.944436, line=0.666667)
  GWToolboxdll/Utils/TeamBuild.cpp:252-260  <->  GWToolboxdll/Windows/BuildsWindow.cpp:267-278  (STRUCTURAL, weighted=0.936622, line=0.583333)
  GWToolboxdll/Utils/TextUtils.cpp:503-519  <->  plugins/Base/PluginUtils.cpp:353-369  (STRUCTURAL, weighted=0.9281, line=0.866667)
  GWToolboxdll/Modules/Teamspeak5Module.cpp:541-599  <->  GWToolboxdll/Modules/TeamspeakModule.cpp:494-552  (STRUCTURAL, weighted=0.906075, line=0.622222)
  GWToolboxdll/Widgets/WorldMapWidget.cpp:373-388  <->  GWToolboxdll/Windows/TravelWindow.cpp:143-164  (STRUCTURAL, weighted=0.890046, line=0.565217)
  GWToolboxdll/Utils/GuiUtils.cpp:204-210  <->  plugins/Base/PluginUtils.cpp:128-134  (STRUCTURAL, weighted=0.860327, line=0.75)
  GWToolboxdll/Windows/PartySearchWindow.cpp:806-814  <->  GWToolboxdll/Windows/TradeWindow.cpp:776-783  (STRUCTURAL, weighted=0.859911, line=0.875)
  GWToolboxdll/Utils/GuiUtils.cpp:264-287  <->  plugins/Base/PluginUtils.cpp:155-178  (EXACT, weighted=0.85, line=1)
  GWToolboxdll/Utils/GuiUtils.cpp:375-393  <->  plugins/Base/PluginUtils.cpp:540-557  (STRUCTURAL, weighted=0.828848, line=0.666667)
  GWToolboxdll/Modules/InventoryItem.cpp:87-100  <->  GWToolboxdll/Windows/DropTrackerWindow.cpp:27-42  (STRUCTURAL, weighted=0.816065, line=0.875)
  GWToolboxdll/Modules/ObserverModule.cpp:945-951  <->  GWToolboxdll/Modules/ObserverModule.cpp:971-977  (RENAMED, weighted=0.8, line=0.555556)
  GWToolboxdll/Modules/ObserverModule.cpp:958-964  <->  GWToolboxdll/Modules/ObserverModule.cpp:971-977  (RENAMED, weighted=0.8, line=0.75)
  GWToolboxdll/Modules/ObserverModule.cpp:945-951  <->  GWToolboxdll/Modules/ObserverModule.cpp:958-964  (RENAMED, weighted=0.8, line=0.555556)
  GWToolboxdll/Windows/CompletionWindow.cpp:2488-2495  <->  GWToolboxdll/Windows/CompletionWindow.cpp:2528-2535  (EXACT, weighted=0.8, line=1)
  GWToolboxdll/Modules/ObserverModule.cpp:865-868  <->  GWToolboxdll/Modules/ObserverModule.cpp:899-902  (RENAMED, weighted=0.8, line=0.6)
  GWToolboxdll/Windows/CompletionWindow.cpp:2488-2495  <->  GWToolboxdll/Windows/CompletionWindow.cpp:2508-2515  (EXACT, weighted=0.8, line=1)
  GWToolboxdll/Modules/ObserverModule.cpp:834-837  <->  GWToolboxdll/Modules/ObserverModule.cpp:899-902  (STRUCTURAL, weighted=0.8, line=0.6)
  GWToolboxdll/Widgets/Minimap/CustomRenderer.cpp:344-352  <->  GWToolboxdll/Widgets/Minimap/CustomRenderer.cpp:482-490  (RENAMED, weighted=0.8, line=0.777778)
  GWToolboxdll/Widgets/Minimap/CustomRenderer.cpp:344-352  <->  GWToolboxdll/Widgets/Minimap/CustomRenderer.cpp:648-656  (RENAMED, weighted=0.8, line=0.6)
  GWToolboxdll/Modules/PartyWindowModule.cpp:123-138  <->  GWToolboxdll/Modules/PartyWindowModule.cpp:190-205  (STRUCTURAL, weighted=0.8, line=0.647059)
  GWToolboxdll/Widgets/Minimap/CustomRenderer.cpp:359-367  <->  GWToolboxdll/Widgets/Minimap/CustomRenderer.cpp:497-505  (RENAMED, weighted=0.8, line=0.777778)
  GWToolboxdll/Widgets/Minimap/CustomRenderer.cpp:359-367  <->  GWToolboxdll/Widgets/Minimap/CustomRenderer.cpp:663-671  (RENAMED, weighted=0.8, line=0.6)
